City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kurumkan,54.3,110.3,40.5,59,0,3.78,RU,05-14-2021
Gorom-Gorom,14.4439,-0.2361,107.73,13,37,2.95,BF,05-14-2021
Opuwo,-18.0607,13.84,80.73,20,8,4.36,NA,05-14-2021
Te Anau,-45.4167,167.7167,46.98,88,50,3.11,NZ,05-14-2021
Jumla,29.2747,82.1838,51.53,81,42,1.81,NP,05-14-2021
Cape Town,-33.9258,18.4232,70.0,64,0,19.57,ZA,05-14-2021
Rikitea,-23.1203,-134.9692,75.2,79,84,19.46,PF,05-14-2021
Hithadhoo,-0.6,73.0833,81.86,77,100,10.54,MV,05-14-2021
Mossamedes,-15.1961,12.1522,82.31,55,3,10.83,AO,05-14-2021
Kutum,14.2,24.6667,93.29,12,44,12.48,SD,05-14-2021
Mount Gambier,-37.8333,140.7667,51.8,71,75,21.85,AU,05-14-2021
Khatanga,71.9667,102.5,17.04,96,100,2.89,RU,05-14-2021
Makakilo City,21.3469,-158.0858,73.4,83,1,5.75,US,05-14-2021
Florø,61.5996,5.0328,57.2,67,75,6.91,NO,05-14-2021
Vardø,70.3705,31.1107,35.6,75,75,19.57,NO,05-14-2021
Fairbanks,64.8378,-147.7164,44.01,70,40,8.05,US,05-14-2021
Tenri,34.5833,135.8333,71.01,86,100,0.74,JP,05-14-2021
Airai,-8.9266,125.4092,56.55,85,37,3.62,TL,05-14-2021
Ushuaia,-54.8,-68.3,39.2,87,0,6.91,AR,05-14-2021
Hambantota,6.1241,81.1185,82.4,83,75,6.91,LK,05-14-2021
Yellowknife,62.456,-114.3525,17.6,86,90,11.5,CA,05-14-2021
Saint George,37.1041,-113.5841,71.01,19,1,2.39,US,05-14-2021
Jamestown,42.097,-79.2353,62.01,47,1,4.61,US,05-14-2021
Butaritari,3.0707,172.7902,81.59,79,47,12.3,KI,05-14-2021
Arrondissement de Mont-de-Marsan,44.0,-0.6667,66.99,45,0,17.27,FR,05-14-2021
Aykhal,66.0,111.5,36.14,90,100,5.37,RU,05-14-2021
Boyolangu,-8.1181,111.8935,76.62,91,77,3.94,ID,05-14-2021
Puerto Ayora,-0.7393,-90.3518,77.0,83,40,13.8,EC,05-14-2021
Yulara,-25.2406,130.9889,57.2,62,10,8.05,AU,05-14-2021
Busselton,-33.65,115.3333,62.01,68,96,8.99,AU,05-14-2021
Bambous Virieux,-20.3428,57.7575,77.0,73,75,11.5,MU,05-14-2021
Punta Arenas,-53.15,-70.9167,39.2,93,20,5.75,CL,05-14-2021
Zhigansk,66.7697,123.3711,40.14,75,96,11.56,RU,05-14-2021
Narsaq,60.9167,-46.05,51.8,20,20,16.11,GL,05-14-2021
Ostrovnoy,68.0531,39.5131,31.91,97,100,18.1,RU,05-14-2021
Dikson,73.5069,80.5464,23.56,72,100,15.75,RU,05-14-2021
Beringovskiy,63.05,179.3167,31.42,96,100,9.82,RU,05-14-2021
Turukhansk,65.8167,87.9833,30.24,97,100,4.63,RU,05-14-2021
Nikolskoye,59.7035,30.7861,66.99,45,0,13.42,RU,05-14-2021
Silvânia,-16.6589,-48.6081,78.8,41,20,13.8,BR,05-14-2021
Barrow,71.2906,-156.7887,19.4,86,90,6.91,US,05-14-2021
Karaton,-6.3424,106.1045,84.2,65,40,5.75,ID,05-14-2021
Atuona,-9.8,-139.0333,79.29,76,18,18.57,PF,05-14-2021
Hermanus,-34.4187,19.2345,71.01,58,5,19.64,ZA,05-14-2021
Talnakh,69.4865,88.3972,21.52,94,100,7.14,RU,05-14-2021
Ponta do Sol,32.6667,-17.1,75.2,41,20,12.66,PT,05-14-2021
Lompoc,34.6391,-120.4579,51.8,87,71,4.61,US,05-14-2021
Clyde River,70.4692,-68.5914,21.2,86,90,3.44,CA,05-14-2021
Bluff,-46.6,168.3333,48.0,91,100,4.0,NZ,05-14-2021
Ginda,30.6945,78.4932,57.24,68,3,7.45,IN,05-14-2021
Avenal,36.0041,-120.129,66.99,47,1,4.61,US,05-14-2021
Hwange,-18.3693,26.5019,78.93,29,1,6.22,ZW,05-14-2021
Kichmengskiy Gorodok,59.9816,45.7854,69.26,54,98,4.94,RU,05-14-2021
Mataura,-46.1927,168.8643,48.0,91,100,4.0,NZ,05-14-2021
Escanaba,45.7453,-87.0646,64.4,32,20,12.66,US,05-14-2021
Priiskovyy,51.9333,116.6333,44.24,75,99,6.08,RU,05-14-2021
Ribeira Grande,38.5167,-28.7,68.0,88,75,10.36,PT,05-14-2021
Korla,41.7597,86.1469,60.93,42,57,6.53,CN,05-14-2021
Gold Coast,-28.0,153.4333,57.0,87,0,5.3,AU,05-14-2021
San Cristobal,7.7669,-72.225,84.2,58,20,5.75,VE,05-14-2021
Mahébourg,-20.4081,57.7,77.0,73,75,11.5,MU,05-14-2021
Chokurdakh,70.6333,147.9167,3.33,98,57,5.55,RU,05-14-2021
Pevek,69.7008,170.3133,12.94,94,24,4.07,RU,05-14-2021
Barão de Melgaço,-16.1944,-55.9675,80.6,61,0,2.3,BR,05-14-2021
Hobart,-42.8794,147.3294,42.8,70,75,4.61,AU,05-14-2021
Açucena,-19.0731,-42.5464,75.2,64,20,3.44,BR,05-14-2021
Lüderitz,-26.6481,15.1594,72.37,46,0,3.09,NA,05-14-2021
Vao,-22.6667,167.4833,75.96,77,18,11.12,NC,05-14-2021
Elbistan,38.2059,37.1983,78.6,16,18,9.57,TR,05-14-2021
Mehamn,71.0357,27.8492,37.4,75,75,10.36,NO,05-14-2021
Ahipara,-35.1667,173.1667,64.96,94,63,13.04,NZ,05-14-2021
New Norfolk,-42.7826,147.0587,42.01,83,96,1.92,AU,05-14-2021
Bredasdorp,-34.5322,20.0403,69.8,52,21,12.66,ZA,05-14-2021
Thai Binh,20.45,106.3333,84.2,89,75,6.91,VN,05-14-2021
Martapura,-3.4167,114.85,78.8,94,20,3.44,ID,05-14-2021
Qaanaaq,77.484,-69.3632,33.24,79,99,9.17,GL,05-14-2021
Caucayá,-0.1934,-74.7819,76.57,94,97,2.08,CO,05-14-2021
Ilulissat,69.2167,-51.1,37.4,52,20,6.91,GL,05-14-2021
Kysyl-Syr,63.8986,122.7617,47.01,48,81,3.29,RU,05-14-2021
Kapaa,22.0752,-159.319,73.4,78,75,12.66,US,05-14-2021
Hilo,19.7297,-155.09,73.4,73,90,6.91,US,05-14-2021
Linxia Chengguanzhen,35.6003,103.2064,45.77,88,100,0.94,CN,05-14-2021
Kulhudhuffushi,6.6221,73.07,83.5,80,100,34.69,MV,05-14-2021
Berlevåg,70.8578,29.0864,35.6,75,75,10.36,NO,05-14-2021
Fare,-16.7,-151.0167,80.96,77,100,13.13,PF,05-14-2021
Sokoni,-6.4333,39.55,84.2,74,20,12.66,TZ,05-14-2021
Cockburn Town,21.4612,-71.1419,80.29,74,98,15.03,TC,05-14-2021
Pangnirtung,66.1451,-65.7125,28.4,93,90,4.61,CA,05-14-2021
Port Alfred,-33.5906,26.891,73.42,59,1,8.97,ZA,05-14-2021
Necochea,-38.5473,-58.7368,61.0,62,16,3.0,AR,05-14-2021
Presque Isle,46.6811,-68.0159,57.99,35,1,16.11,US,05-14-2021
Urucará,-2.5364,-57.76,87.93,63,30,2.1,BR,05-14-2021
Albany,42.6001,-73.9662,68.0,29,2,1.01,US,05-14-2021
Princeton,25.5384,-80.4089,79.0,78,20,9.22,US,05-14-2021
Copiapó,-27.3667,-70.3333,59.0,82,20,4.61,CL,05-14-2021
Lebu,-37.6167,-73.65,59.0,79,100,2.98,CL,05-14-2021
Puro,12.4841,123.3827,82.31,78,44,12.88,PH,05-14-2021
Tiksi,71.6872,128.8694,31.12,97,100,5.14,RU,05-14-2021
Morón,-34.6534,-58.6198,63.0,72,0,3.44,AR,05-14-2021
Cherskiy,68.75,161.3,21.36,94,72,3.36,RU,05-14-2021
Provideniya,64.3833,-173.3,35.78,80,23,15.39,RU,05-14-2021
Sambava,-14.2667,50.1667,79.43,70,2,14.88,MG,05-14-2021
Bubaque,11.2833,-15.8333,77.5,71,26,10.76,GW,05-14-2021
Rāzole,16.4833,81.8333,89.6,66,20,9.22,IN,05-14-2021
Gweru,-19.45,29.8167,69.31,35,0,2.66,ZW,05-14-2021
Port-Cartier,50.0334,-66.8654,55.4,30,75,10.36,CA,05-14-2021
Iquique,-20.2208,-70.1431,66.2,68,0,6.91,CL,05-14-2021
Ballina,-28.8667,153.5667,51.8,93,1,5.41,AU,05-14-2021
Araouane,18.9048,-3.5265,108.66,5,6,8.39,ML,05-14-2021
Renqiu,38.6989,116.0936,70.68,72,33,3.91,CN,05-14-2021
Iaciara,-14.0958,-46.6317,85.42,30,15,4.29,BR,05-14-2021
